SpeciesName,AntherSize,CalyxSize,CorollaSize,FlowerSize,FruitSize,Glumes,InflorescenceSize,LeafSize,Lemma,Lodicules,OvarySize,Palea,PedicelSize,PetalSize,PetioleSize,SeedSize,StamenSize,Stature,StigmaSize,StyleSize,TubeSize
abrotanella-rosulata,,,,,,,,,,,,,,,,,,,,,
abrotanella-spathulata,,,,,,,,,,,,,,,,,,,,,
aciphylla-dieffenbachii,,,,,15x10mm,,1.0x0.6m; 10mm,0.7m; 150-400x100-300mm,,,,,,2mm; 1.5mm,,,,,,,
aciphylla-traversii,,,,,8-10x6mm,,1.0x0.4m; 50mm; 8mm,0.15-0.46x0.15-0.8mm,,,,,,2.0-2.5mm,0.1-0.25m,,,,,,
astelia-chathamica,,,,8x2.5-3mm,10x10mm,,,60-200x4-10cm,,,,,,,,,,,,,
austroderia-turbaria,1.7-2.6mm,,,,,25mm,2m,1.5x0.15m,9mm,,0.8mm,7mm,400-800mm,,,3mm,,,,,
brachyglottis-huntii,,,,20-30mm,1.5-1.8mm,,,70-180x20-40mm,,,,,5-15mm,,,1.5-1.8mm,,6x6m,,,
callitriche-aucklandica,,,,,,,300mm,3.6-8x1.2-4mm,,,,,,,,,,,,,
callitriche-chathamensis,0.5-0.6mm,,,,0.6-0.9mm,,,1.0-1.4mm,,,,,,,2.2-4.1mm,,,,,1.1-2.3mm,
cardamine-subcarnosa,0.3-0.4mm,,,,,,50-150mm,5-25x5-20mm; 3-22x2.5-12mm; 1.7-6.5x0.3-0.9mm,,,3.2-3.5mm,,2.0-12mm,2.2-4.7x0.6-1.3mm,20-60mm,0.8-1.4mm,,,0.3-0.5mm,,
carex-chathamica,,,,,2mm,,0.05-0.35-1mx1.5-3-6mm; 6-8-10mm; 30-75x10-15mm,,,,,,,,,,,,,,
carex-elingamita,,,,,2mm,,1mx1.5mm; 5-10mm; 60-80x5mm,,,,,,,,,,,,,,
carex-kermadecensis,,,,,2mm,3mm,450mm; 7-10mm; 20-55x5-7mm,,,,,,,,,,,,,,
carex-ventosa,,,,20-45-60x6-8-10mm,2mm,,0.45-1mx1-2.5-4mm; 5-11mm; 0.2-0.5-1m,,,,,,,,,,,,,,
cenchrus-caliculatus,1.5-2.0mm,,,,,,700x2-2.5mm; 100-250x15mm,,4.8-6.0mm; 5.0-5.5mm,,,,,,,2.2-2.7mm,,,,,
coprosma-acutifolia,,,,10-15mm,7-8mm,,,,,,,,,,5-7mm; 60-90x20-35mm,,,12m,,,
coprosma-chathamica,,,,,9-12x9-14mm,,,45-75x20-45mm; 20-35x15-30mm,,,,,,,8-10mm,,,15m,,,
coprosma-macrocarpa-subsp.-macrocarpa,,,,,,,,,,,,,,,,,,,,,
coprosma-petiolata,,,,5-10mm,6-10x6-10mm,,,10-70x15-30mm,,,,,,,5-16mm,,,6m,,,
coprosma-propinqua-var.-martinii,,,,,,,,,,,,,,,,,,,,,
corokia-macrocarpa,2.0-2.5mm,,,,10-12mm,,,40-80x15-35mm,,,,,20-40mm,5-6mm,10-15mm,,,8m,,,
disphyma-australe-subsp.-stricticaule,,,,,,,,,,,,,,,,,,,,,
disphyma-papillatum,,,,20-40mm,,,,4-30x5-6mm,,,,,,10-30mm,,1mm,5-6mm,,,,
elingamita-johnsonii,,,3-6x1.0-1.5mm; 2.5x1-1.5mm,,60x60mm; 20mm,,,100-200x40-190mm,,,,,,,10mm,,,8m,,,
festuca-coxii,3.7-4.2mm,,,,,,250-450mm; 60-150mm,110-400x0.5-0.9mm,6-10mm; 6-13mm,,1.0-1.4mm,,10-20mm,,,3.7-4.6mm,,,,,
gentianella-antarctica,1.0-1.2mm,5.5-7.6mm,9.5-14.0mm; 1.6-3.4mm; 3.4-7.2mm,16-220mm; 7-12mm,8.0-13.2mm,,11.0-82.0x3.1-17.6mm,,,,,,2.5mm; 1.6-4.5mm,,5-11mm,,,,,,3.0-5.5mm
gentianella-antipoda,0.75-1.0mm,4.7-8.0mm,5.5-10.5mm; 1.0-1.4mm; 2.8-6.3mm,35-240mm; 5.5-10.5mm,2.9-7.2mm,,34-39x4.8-6.2mm,,,,,,1.5-2.5mm; 0.8-2.0x0.6-0.9mm,,3.2-3.5mm,,,,,,1.6-2.9mm
gentianella-cerina,0.9-1.7mm,9.3-12.2mm,8.4-11.8mm; 1.2-1.5mm; 4.9-6.9mm,90-170mm; 9.9-14.1mm,6.5-12mm,,,36.6-53.1x8.4-12.6mm,,,,,1.1-3.1mm; 6.2-17.8mm,,11-13mm,,,,,,2.1-4.4mm
gentianella-chathamica,,,,,,,,,,,,,,,,,,,,,
gentianella-concinna,1.2-1.8mm,6.0-8.8mm,8.7-13.0mm; 1.2-1.5mm; 4.1-8.0mm,27-150mm; 10.5-12.0mm,7.7-9.0mm,,,,,,,,0.7-3.4mm; 4.0-11.5x0.9-1.1mm,,15.0-32.0m,,,,,,2.0-3.0mm
geranium-traversii,,,,20-25mm,,,,15-100mm,,,,,,12x10mm,30mm; 220mm,2.2-2.8mm,,0.8x0.6m,,,
imperata-cheesemanii,,,,,,,500-800mm; 100-200x20-40mm,120-500x5-15mm,,,,,,,,,,,,,
leptecophylla-robusta,1.1-1.4mm,1.7-2.0mm,,1.5-2.1mm,5-8x6-10mm,,,9.9-16.2x2.2-3.4mm,,,0.7-1.1x0.9-1.1mm; 1.1-1.4mm,,3.1-4.1mm,,1.3-2.8mm,2.8-4.3x3.5-5.0mm,,8m,0.1mm,,1.7-2.1mm
leptinella-featherstonii,,,,10mm,1.5x0.7mm,,20mm; 2mm,30mm; 15-60x6-25mm; 5-20mm,,,,,,,,1.5x0.7mm,,1.5x2m,,,
melicytus-chathamicus,1.0-1.2mm; 0.6-0.7mm,,4.2-5.1x3.2-3.6mm; 4.2-5.1x3.2-3.6mm,,16-18x14-16mm,,,50-120x20-60mm,,,1.4-1.8mm,,3.8-6.2mm; 3.6-5.8mm,4.4-5.4x2.4-2.6mm; 4.4-5.4x2.4-2.6mm,10-25mm,,,10m,,0.3-0.4mm,
metrosideros-kermadecensis,1.0x0.2-0.4mm,,,,,,,20-50x10-30mm,,,,,8-12mm,,5-7mm,2.5-4.5mm,10-23mm,20m,,,
myoporum-semotum,0.9-1.3x0.7-0.9mm,,5.0-5.5mm,,,,,70-100x25-35mm,,,,,3-12mm,,,5.0-9.0x4.0-5.5mm; 2.8-3.0x0.9-1.1mm,,14m,,2.8-4.0mm,0.15mm
myosotis-antarctica,1mm,3mm,,,,,,70mm,,,,,1mm,,10-20x4-5mm,,,,,,2-3mm
myrsine-chathamica,1.9-2.1x0.9-1.2mm,1.8-2.2mm; 1.6-2.0mm,,,8-10mm,,,20-75x15-40mm,,,1.8x2.3mm; 1.2-2.0mm,,4.6-7.2mm,,5-10mm,5.5-7.0x5.3-6.5mm,,12m,2.2mm; 2mm,,2.6-3.0mm; 3.0-4.3mm
myrsine-coxii,,0.8-1.2mm; 0.8-1.4mm; 0.8-1.4mm,,,6-8mm,,,8-10-20x5-10-14mm,,,2.4-3.2x1.8-2.6mm; 2.4-3.2x1.8-2.6mm,,0.8-1.2mm,,1-4mm,3.2-4.0x3.2-3.8mm,0.4-0.6x0.11-0.14mm; 2.4-3.2x1.2-2.0mm,12m,2.0-2.1mm; 2.0-2.1mm,,2.0-2.5mm; 2.2-2.9mm; 2.2-2.9mm
myrsine-kermadecensis,1.1-1.8x0.8-1.2mm,1.0-1.5mm; 1.0-1.5mm,,,6-12mm,,,30-680x25-40mm,,,0.8-0.9x0.8-0.9mm; 0.75-0.9x0.75-1.0mm,,,,6-15mm,3.2-3.5x4.0-5.5mm,,10m,0.3-0.4mm; 0.75-0.8mm,,2.1-2.7mm; 2.7-3.1mm
